Sl. No.,Transaction Name,Organization Industry,Organization Location,Funding Type,Money Raised,Announced Date,Announced Year,Funding Status,Total Funding Amount
487,Seed Round - NanoQuan,"Manufacturing, Nanotechnology, Real Estate","Kitchener, Ontario, Canada, North America",Seed,30000,2015-03-17,2015,Seed,403000
488,Seed Round - Abode Co.,"Crowdfunding, Real Estate","Calgary, Alberta, Canada, North America",Seed,400000,2015-08-10,2015,Seed,400000
489,Post-IPO Equity - MAG Silver Corp.,"Mining, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,60000002,2020-04-27,2020,,92743690
490,Convertible Note - Local Logic,"Analytics, Artificial Intelligence, Big Data, Commercial Real Estate, Information Services, Information Technology, Predictive Analytics, Real Estate, Real Estate Investment, Sustainability","Montréal, Quebec, Canada, North America",Convertible Note,75000,2016-06-01,2016,,9325000
491,Grant - Happipad,"Real Estate, Rental, Sharing Economy, Travel Accommodations","Kelowna, British Columbia, Canada, North America",Grant,30000,2020-01-15,2020,,677090
492,Venture Round - Ardra Drafting,"Architecture, Interior Design, Real Estate","Edmonton, Alberta, Canada, North America",Venture - Series Unknown,,2019-10-01,2019,,
493,Post-IPO Equity - OneMove Technologies,"B2B, Legal, Real Estate, SaaS, Software","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,2224140,2006-10-20,2006,,14363708
494,Venture Round - MEDIFICE,"Health Care, Leasing, Real Estate, Rental","Boisbriand, Quebec, Canada, North America",Venture - Series Unknown,,2006-01-01,2006,,
495,Debt Financing - Spark CRM,"CRM, Marketing, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Debt Financing,,2019-08-28,2019,,6101978
496,Seed Round - Mero Technologies,"Analytics, Internet of Things, Real Estate, Software","Toronto, Ontario, Canada, North America",Seed,2500000,2021-08-10,2021,Seed,4800000
497,Post-IPO Debt - DIRTT Environmental Solutions,"Architecture, Construction, Green Building, Infrastructure, Real Estate","Calgary, Alberta, Canada, North America",Post-IPO Debt,35000000,2021-01-25,2021,,126083459
498,Pre Seed Round - Zinite,Real Estate,"Vancouver, British Columbia, Canada, North America",Pre-Seed,125000,2021-08-31,2021,Seed,125000
499,Debt Financing - Silofit,"Apps, Fitness, Real Estate","Montréal, Quebec, Canada, North America",Debt Financing,2500000,2021-07-29,2021,,18900000
500,Pre Seed Round - Arextech,"Commercial Real Estate, Information Technology, Real Estate, Real Estate Investment, Software","Toronto, Ontario, Canada, North America",Pre-Seed,120289,2019-09-09,2019,Seed,797289
501,Seed Round - Urban Networks,"Building Material, Internet, ISP, Real Estate, Telecommunications","Burnaby, British Columbia, Canada, North America",Seed,91316,2014-09-08,2014,Seed,91316
502,Pre Seed Round - Mero Technologies,"Analytics, Internet of Things, Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,,2019-09-13,2019,Seed,4800000
503,Pre Seed Round - Studint,Real Estate,"Montréal, Quebec, Canada, North America",Pre-Seed,10000,2019-02-01,2019,Seed,10000
504,Private Equity Round - Lone Wolf Technologies,"Real Estate, Software, Transaction Processing","Cambridge, Ontario, Canada, North America",Private Equity,,2015-03-31,2015,Private Equity,
505,Grant - Vision Extrusion Group,"Customer Service, Manufacturing, Real Estate, Transportation","Vaughan, Ontario, Canada, North America",Grant,1500000,2018-04-16,2018,,1500000
506,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,23000000,2016-03-08,2016,,170915255
507,Post-IPO Equity - CanWel Building Materials Group,"Building Material, Consumer Goods, Manufacturing, Real Estate, Wearables","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,60000600,2016-08-15,2016,,242771392
508,Venture Round - Assembly Coworking Space,"Commercial Real Estate, Property Management, Real Estate","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2012-01-01,2012,,
509,Grant - Concrete MRI,"Construction, Professional Services, Real Estate","Vancouver, British Columbia, Canada, North America",Grant,160000,2020-07-15,2020,,160000
510,Grant - Navigate Startup House,"Communities, Events, Real Estate","Sydney, Nova Scotia, Canada, North America",Grant,346000,2016-07-20,2016,,346000
511,Pre Seed Round - Roomvu,"Advertising, Real Estate, Social Media","Vancouver, British Columbia, Canada, North America",Pre-Seed,300000,2019-12-01,2019,Seed,1045650
512,Post-IPO Debt - Tricon Residential,"Property Management, Real Estate, Rental, Venture Capital","Toronto, Ontario, Canada, North America",Post-IPO Debt,150000000,2017-02-27,2017,,672221396
513,Post-IPO Equity - Tricon Residential,"Property Management, Real Estate, Rental, Venture Capital","Toronto, Ontario, Canada, North America",Post-IPO Equity,242000000,2013-08-13,2013,,672221396
514,Pre Seed Round - Living The Lingo,Real Estate,"Montréal, Quebec, Canada, North America",Pre-Seed,3200000,2015-09-24,2015,Seed,3200000
515,Post-IPO Equity - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,200893500,2017-06-09,2017,,578393343
516,Pre Seed Round - Homewise,"Consumer Lending, Financial Services, FinTech, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,800000,2018-11-01,2018,Seed,3800000
517,Pre Seed Round - Renderator™,"Commercial Real Estate, Property Development, Real Estate","Halifax, Nova Scotia, Canada, North America",Pre-Seed,50000,2021-05-30,2021,Seed,50000
518,Pre Seed Round - Odyssey 3D,Real Estate,"Toronto, Ontario, Canada, North America",Pre-Seed,,2016-01-01,2016,Seed,
519,Post-IPO Debt - Crombie Real Estate Investment Trust,"Commercial, Real Estate","New Glasgow, Nova Scotia, Canada, North America",Post-IPO Debt,150000000,2019-12-16,2019,,150000000
520,Grant - Happipad,"Real Estate, Rental, Sharing Economy, Travel Accommodations","Kelowna, British Columbia, Canada, North America",Grant,75000,2019-10-22,2019,,677090
521,Angel Round - BuyProperly,"FinTech, Real Estate, Real Estate Investment, Service Industry","Toronto, Ontario, Canada, North America",Angel,250000,2019-09-01,2019,Seed,2340000
522,Series A - InvestorPlus.com,"Property Management, Real Estate, Real Estate Investment","Calgary, Alberta, Canada, North America",Series A,3000000,2000-04-10,2000,Early Stage Venture,3000000
523,Post-IPO Debt - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Debt,5000000,2017-06-28,2017,,145006567
524,Pre Seed Round - Estated,"Analytics, Big Data, Database, Information Technology, Market Research, Real Estate, Software","Kelowna, British Columbia, Canada, North America",Pre-Seed,,2017-01-23,2017,Seed,3000000
525,"Seed Round - CityBlast Media, Inc.","Building Material, Real Estate","Toronto, Ontario, Canada, North America",Seed,,2012-11-20,2012,Seed,
526,Debt Financing - Parkbench.com,"Communities, Coupons, Events, Local, Marketing, News, Real Estate, SaaS, Small and Medium Businesses","Toronto, Ontario, Canada, North America",Debt Financing,1000000,2018-03-08,2018,,1267323
527,Series A - Nesto,"Financial Services, FinTech, Real Estate","Montreal, Quebec, Canada, North America",Series A,11500000,2020-06-02,2020,Early Stage Venture,151354383
528,Post-IPO Equity - Atlas Engineered Products,"Manufacturing, Real Estate","Nanaimo, British Columbia, Canada, North America",Post-IPO Equity,97500,2017-11-17,2017,,97500
529,Grant - Apartmint,"E-Commerce, Online Portals, Real Estate, Rental","Toronto, Ontario, Canada, North America",Grant,20000,2016-03-01,2016,,265000
530,Pre Seed Round - Rent Panda,Real Estate,"Thunder Bay, Ontario, Canada, North America",Pre-Seed,15000,2017-05-26,2017,Seed,15000
531,Grant - Intelligent City,"Manufacturing, Real Estate, Robotics, Software","Vancouver, British Columbia, Canada, North America",Grant,3000000,2020-02-12,2020,,21217819
532,Post-IPO Equity - RioCan,"Leasing, Real Estate, Rental Property","Toronto, Ontario, Canada, North America",Post-IPO Equity,230000000,2019-10-28,2019,,680000000
533,Post-IPO Equity - Aston Bay Holdings,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,,2018-04-26,2018,,109802
534,Post-IPO Equity - Mosaic Capital,"Banking, Insurance, Real Estate, Venture Capital","Calgary, Alberta, Canada, North America",Post-IPO Equity,28776336,2014-06-20,2014,,54193256
535,Seed Round - Spark CRM,"CRM, Marketing, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Seed,150000,2014-06-25,2014,Seed,6101978
536,Angel Round - Envio Systems,"Cloud Management, Energy, Energy Efficiency, Energy Management, Information Technology, Predictive Analytics, Real Estate, SaaS, Smart Building, Software","Calgary, Alberta, Canada, North America",Angel,1200000,2016-11-13,2016,Seed,6216736
537,Seed Round - Zoocasa,Real Estate,"Toronto, Ontario, Canada, North America",Seed,1345000,2016-10-19,2016,Seed,1345000
538,Post-IPO Equity - DIRTT Environmental Solutions,"Architecture, Construction, Green Building, Infrastructure, Real Estate","Calgary, Alberta, Canada, North America",Post-IPO Equity,43211250,2015-06-04,2015,,126083459
539,Pre Seed Round - BisRing,"Real Estate, Social Network","Richmond Hill, Ontario, Canada, North America",Pre-Seed,25000,2020-10-31,2020,Seed,400020
540,Post-IPO Equity - Parkit Enterprise,"Commercial Real Estate, Parking, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,84000000,2021-01-26,2021,,108122939
541,Non Equity Assistance - The FoodRoom,"Collaboration, Coworking, Food and Beverage, Real Estate, Sharing Economy, Social Entrepreneurship","Montréal, Quebec, Canada, North America",Non-equity Assistance,,30-Jun-15,2015,,780000
